Keyword,Location,Business Name,Google Maps URL
coffee shop,Jakarta,Owl Claws Coffee & Space,https://www.google.com/maps/place/Owl+Claws+Coffee+%26+Space/data=!4m7!3m6!1s0x2e69f594fc571bbd:0x3c6fd59b11f00e9b!8m2!3d-6.194079!4d106.859527!16s%2Fg%2F11lknkddxr!19sChIJvRtX_JT1aS4Rmw7wEZvVbzw?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,TOMORO COFFEE - SPBU PRAMUKA,https://www.google.com/maps/place/TOMORO+COFFEE+-+SPBU+PRAMUKA/data=!4m7!3m6!1s0x2e69f5345c89a7cb:0xebe05345e26dbcd2!8m2!3d-6.1932996!4d106.8639548!16s%2Fg%2F11tp9v_8f3!19sChIJy6eJXDT1aS4R0rxt4kVT4Os?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Kaizen Heritage 3.0 / Kaizen Matraman,https://www.google.com/maps/place/Kaizen+Heritage+3.0+%2F+Kaizen+Matraman/data=!4m7!3m6!1s0x2e69f5f613d9437d:0xa43327b175fcee92!8m2!3d-6.2011023!4d106.8559888!16s%2Fg%2F11q2yp9xf9!19sChIJfUPZE_b1aS4Rku78dbEnM6Q?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Giyanti Coffee Roastery,https://www.google.com/maps/place/Giyanti+Coffee+Roastery/data=!4m7!3m6!1s0x2e69f4151ceb7767:0x79ac645c2aef736f!8m2!3d-6.1988778!4d106.8394721!16s%2Fg%2F12vqtc6zk!19sChIJZ3frHBX0aS4Rb3PvKlxkrHk?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Watt Coffee,https://www.google.com/maps/place/Watt+Coffee/data=!4m7!3m6!1s0x2e69f435e5b4ad01:0xf8eac50f0cdc2030!8m2!3d-6.1971335!4d106.8505063!16s%2Fg%2F11b72827xg!19sChIJAa205TX0aS4RMCDcDA_F6vg?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Bakoel Koffie Cikini,https://www.google.com/maps/place/Bakoel+Koffie+Cikini/data=!4m7!3m6!1s0x2e69f43f27fc212d:0xef90097e3188f8fd!8m2!3d-6.1878545!4d106.8369247!16s%2Fg%2F1ywqfm4wn!19sChIJLSH8Jz_0aS4R_fiIMX4JkO8?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Lucky Cat Coffee & Kitchen,https://www.google.com/maps/place/Lucky+Cat+Coffee+%26+Kitchen/data=!4m7!3m6!1s0x2e69f3f6ce7041f5:0x4ffd7a3b776d57f7!8m2!3d-6.2215466!4d106.8334701!16s%2Fg%2F11c464pjyp!19sChIJ9UFwzvbzaS4R91dtdzt6_U8?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,INSOMNIA JAKARTA,https://www.google.com/maps/place/INSOMNIA+JAKARTA/data=!4m7!3m6!1s0x2e69f568a04d00ad:0x322223e9d4950c0d!8m2!3d-6.1937016!4d106.8652463!16s%2Fg%2F11scs78kb1!19sChIJrQBNoGj1aS4RDQyV1OkjIjI?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Setahun Kemarin,https://www.google.com/maps/place/Setahun+Kemarin/data=!4m7!3m6!1s0x2e69f57cc65eafe5:0x3de7777f7209408b!8m2!3d-6.1875242!4d106.8477531!16s%2Fg%2F11shk_wd76!19sChIJ5a9exnz1aS4Ri0AJcn935z0?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,NGOLU COFFEE,https://www.google.com/maps/place/NGOLU+COFFEE/data=!4m7!3m6!1s0x2e69f57851646f19:0xf71c0682de0beb50!8m2!3d-6.1833804!4d106.8636106!16s%2Fg%2F11rjj6183c!19sChIJGW9kUXj1aS4RUOsL3oIGHPc?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Chester Coffee,https://www.google.com/maps/place/Chester+Coffee/data=!4m7!3m6!1s0x2e69f554e6fa73db:0x1010e3b7f4ae3e1b!8m2!3d-6.195456!4d106.869292!16s%2Fg%2F11ft1tynf9!19sChIJ23P65lT1aS4RGz6u9LfjEBA?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,RECHARGE | Green Brew Space,https://www.google.com/maps/place/RECHARGE+%7C+Green+Brew+Space/data=!4m7!3m6!1s0x2e69f502f8d2f46f:0xb111592092367b6b!8m2!3d-6.1973287!4d106.8406764!16s%2Fg%2F11n0xkt4ss!19sChIJb_TS-AL1aS4Ra3s2kiBZEbE?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Classic Coffee Shop & Cafe,https://www.google.com/maps/place/Classic+Coffee+Shop+%26+Cafe/data=!4m7!3m6!1s0x2e69f50067e1afc3:0xd23a9ba780e20135!8m2!3d-6.1952789!4d106.860934!16s%2Fg%2F11vk4kykwf!19sChIJw6_hZwD1aS4RNQHigKebOtI?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Fillmore Coffee,https://www.google.com/maps/place/Fillmore+Coffee/data=!4m7!3m6!1s0x2e69f3fed15383eb:0x137057061c668f0f!8m2!3d-6.220375!4d106.823469!16s%2Fg%2F11clwnbsq2!19sChIJ64NT0f7zaS4RD49mHAZXcBM?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Titik Temu Cafe - Sarinah,https://www.google.com/maps/place/Titik+Temu+Cafe+-+Sarinah/data=!4m7!3m6!1s0x2e69f5d78fa58631:0x7df1564e86597e69!8m2!3d-6.1878881!4d106.8234838!16s%2Fg%2F11rv543mj6!19sChIJMYalj9f1aS4RaX5Zhk5W8X0?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Your favorite milk shake,https://www.google.com/maps/place/Your+favorite+milk+shake/data=!4m7!3m6!1s0x2e69f526d8cb3239:0x1367b1a4cec9e465!8m2!3d-6.1962983!4d106.8637322!16s%2Fg%2F11s19c7hqz!19sChIJOTLL2Cb1aS4RZeTJzqSxZxM?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Kontraks.coffeeslowbar,https://www.google.com/maps/place/Kontraks.coffeeslowbar/data=!4m7!3m6!1s0x2e69f54d3725638b:0xcb70cd1d55f05f14!8m2!3d-6.198319!4d106.8661406!16s%2Fg%2F11q8sd0k64!19sChIJi2MlN031aS4RFF_wVR3NcMs?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Common Grounds Coffee Roaster Menteng,https://www.google.com/maps/place/Common+Grounds+Coffee+Roaster+Menteng/data=!4m7!3m6!1s0x2e69f539fc04bbe1:0x40636b200cbc6254!8m2!3d-6.1995782!4d106.8371027!16s%2Fg%2F11qh33q5n6!19sChIJ4bsE_Dn1aS4RVGK8DCBrY0A?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,Monarki Coffee | Coffee Shop Jakarta Pusat,https://www.google.com/maps/place/Monarki+Coffee+%7C+Coffee+Shop+Jakarta+Pusat/data=!4m7!3m6!1s0x2e69f7574d0b0e29:0xed47d12459cc74db!8m2!3d-6.1957661!4d106.8140295!16s%2Fg%2F11p74qqlgm!19sChIJKQ4LTVf3aS4R23TMWSTRR-0?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,% Arabica Jakarta Roastery,https://www.google.com/maps/place/%25+Arabica+Jakarta+Roastery/data=!4m7!3m6!1s0x2e69f17ee5503299:0xef503dff46709df6!8m2!3d-6.234521!4d106.8072462!16s%2Fg%2F11tjm02bvc!19sChIJmTJQ5X7xaS4R9p1wRv89UO8?authuser=0&hl=id&rclk=1
coffee shop,Jakarta,"Fore Coffee - Plaza Festival, Jakarta","https://www.google.com/maps/place/Fore+Coffee+-+Plaza+Festival,+Jakarta/data=!4m7!3m6!1s0x2e69f384c0035821:0x1d00a064f7c5b0a0!8m2!3d-6.2215533!4d106.8334479!16s%2Fg%2F11h5n8dl_t!19sChIJIVgDwITzaS4RoLDF92SgAB0?authuser=0&hl=id&rclk=1"
coffee shop,Jakarta,Sky Garden Cafe,https://www.google.com/maps/place/Sky+Garden+Cafe/data=!4m7!3m6!1s0x2e69f3f9dd8d5419:0x3b6e483a346a0fdf!8m2!3d-6.220918!4d106.829175!16s%2Fg%2F1pp2w_327!19sChIJGVSN3fnzaS4R3w9qNDpIbjs?authuser=0&hl=id&rclk=1
